"cz15500","Steubenville, OH & WV",52274
"cz11301","Fredericksburg, VA",46441
"cz12401","Alpena, MI",44828
"cz23302","Douglas, IL",44648
"cz11304","Washington DC, DC & MD & VA",44232
"cz16702","Morgantown, WV",44056
"cz19500","Toms River, NJ",43840
"cz1001","Boone, NC & TN",43506
"cz16100","State College, PA",42708
"cz14801","Olney, IL",42542
"cz14900","Gary, IN",42358
"cz16300","Pittsburgh, PA",42299
"cz17400","Hagerstown, MD & PA & WV",42253
"cz17501","Cumberland, MD & WV",42157
"cz11302","Baltimore, MD",41392
"cz8502","Cordele, GA",41307
"cz12702","Maysville, KY",41274
"cz14600","Bloomington, IN",41220
"cz19903","Chincoteague, VA",40877
"cz19600","Newark, NJ & NY",40599
"cz10501","Columbus, AL & MS",40504
"cz19300","Poughkeepsie, NY",40487
"cz16600","Roanoke, VA & WV",40303
"cz18700","Sunbury, PA",40218
"cz11402","Marinette, MI & WI",40123
"cz19902","Easton, MD",39881
"cz20600","Manchester, ME & NH",39829
"cz10600","Jasper, AL",39800
"cz12701","Cincinnati, KY & OH",39694
"cz13700","Concord, IN & MI",39685
"cz24300","Chicago, IL",39458
"cz17900","Union, NY & PA",39394
"cz13502","Defiance, OH",39377
"cz402","Martinsville, VA",39365
"cz15000","Canton, OH",39299
"cz13400","Lima, OH",39290
"cz20302","Claremont, NH & VT",39252
"cz23400","Bloomington, IL",39165
"cz18400","Plattsburgh, NY",39058
"cz16801","Beckley, WV",39022
"cz13103","Bardstown, KY",38999
"cz22500","Oshkosh, WI",38887
"cz2000","Virginia Beach, NC & VA",38725
"cz12302","Petoskey, MI",38660
"cz20301","Berlin, NH & VT",38641
"cz11001","Mobile, AL",38637
"cz10302","Dothan, AL",38598
"cz11401","Marquette, MI",38570
"cz18800","Scranton, PA",38547
"cz17600","Charlottesville, VA",38543
"cz13800","Wayne, IN",38476
"cz7900","Gainesville, FL",38450
"cz25500","Centralia, IL",38278
"cz15400","Zanesville, OH",38054
"cz13900","Center, IN",37991
"cz16200","Altoona, PA",37968
"cz8202","Charleston, SC",37876
"cz20001","Bangor, ME",37606
"cz22601","Green Bay, WI",37604
"cz17200","Harrisonburg, VA & WV",37598
"cz17300","Staunton, VA",37592
"cz16000","Mansfield, OH",37564
"cz18600","Albany, NY",37538
"cz9900","Tallahassee, FL",37491
"cz24100","Milwaukee, WI",37437
"cz14700","Evansville, IL & IN",37426
"cz14500","Lafayette, IL & IN",37425
"cz9600","LaGrange, AL & GA",37408
"cz13000","Elizabethtown, KY",37367
"cz12901","Lexington-Fayette, KY",37330
"cz14100","Fort Wayne, IN",37311
"cz2300","Lynchburg, VA",37217
"cz4402","Richmond, KY",37194
"cz2400","Richmond, VA",37188
"cz20200","Burlington, VT",37140
"cz13300","Findlay, OH",37106
"cz8800","Savannah, GA & SC",37105
"cz14200","Indianapolis, IN",37029
"cz12501","Dayton, OH",36972
"cz302","Knoxville, TN",36931
"cz8702","Statesboro, GA",36929
"cz24200","Bourbonnais, IL",36923
"cz2500","Newport News, VA",36919
"cz11600","Detroit, MI",36860
"cz14300","Columbus, IN",36818
"cz2700","Gulfport, MS",36802
"cz19800","Wilmington, DE & MD",36798
"cz22400","Sheboygan, WI",36793
"cz18100","Elmira, NY & PA",36780
"cz11102","Troy, AL",36769
"cz8900","Macon, GA",36762
"cz11201","Bluefield, VA & WV",36734
"cz10900","Pensacola, FL",36681
"cz18900","Williamsport, PA",36642
"cz11101","Montgomery, AL",36629
"cz7600","Jacksonville, FL & GA",36579
"cz13501","Toledo, MI & OH",36559
"cz8401","Aiken, GA & SC",36548
"cz10000","Panama City, FL",36474
"cz17100","Huntington, KY & OH & WV",36444
"cz8000","Sumter, SC",36443
"cz20100","Portland, ME",36377
"cz12800","Washington, IN",36298
"cz8300","Greenville, SC",36191
"cz24000","Kenosha, WI",36107
"cz20500","Boston, MA",36090
"cz9100","Atlanta, GA",36090
"cz12600","Wayne, IN",36056
"cz19400","New York, NY",36038
"cz18300","Watertown, NY",36032
"cz9302","Toccoa, GA",36031
"cz13102","Madison, IN & KY",35979
"cz8501","Fitzgerald, GA",35968
"cz13600","South Bend, IN & MI",35954
"cz8100","Columbia, SC",35943
"cz16901","Charleston, WV",35940
"cz11403","Sault Ste. Marie, MI",35815
"cz20902","Pittsfield, MA & VT",35814
"cz11500","Jackson, MI",35806
"cz17800","Oneonta, NY",35714
"cz12100","Kalamazoo, MI",35712
"cz21004","Rhinelander, WI",35698
"cz15800","Athens, OH & WV",35674
"cz10700","Birmingham, AL",35625
"cz1701","Raleigh, NC",35583
"cz20901","Bridgeport, CT",35541
"cz13101","Louisville, IN & KY",35527
"cz15900","Columbus, OH",35496
"cz12301","Traverse City, MI",35460
"cz17700","Syracuse, NY",35447
"cz5600","Nashville, TN",35442
"cz5401","Bowling Green, KY",35343
"cz11700","Lansing, MI",35285
"cz15200","Cleveland, OH",35204
"cz9200","Griffin, GA",35182
"cz9701","Columbus, AL & GA",35170
"cz15700","Scioto, OH",35156
"cz8701","Hinesville, GA",35128
"cz14400","Terre Haute, IN",35083
"cz23301","Charleston, IL",35053
"cz900","Charlotte, NC & SC",35052
"cz9301","Winder, GA",35023
